Full Reference,Reference,doi,url,dir,title,au1,journal,scopus_id,nrefs,type,maybe
"Shiffman S, Ferguson SG. Nicotine patch therapy prior to quitting smoking: a metaanalysis. Addiction 2008;103:557–63.","Shiffman, S and Ferguson, SG (2008)",NA,Addiction2008;103:557–63.,NA,Nicotine patch therapy prior to quitting smoking: a metaanalysis,"Shiffman S, Ferguson SG.",NA,NA,1,Journal article,0
"Taskar V, Coultas D. Exposures and idiopathic lung disease. Semin Respir Crit Care Med 2008;29:670–9.","Taskar, V and Coultas, D (2008)",10.1055/s-0028-1101277,SeminRespirCritCareMed2008;29:670–9.,NA,Exposures and idiopathic lung disease,Taskar V.,Seminars in Respiratory and Critical Care Medicine,SCOPUS_ID:61849177506,1,Journal article,0
"Farsalinos KE. Doctors, open your textbooks: glycerol CANNOT cause lipoid pneumonia (but other things can). 2014. www.ecigarette-research.com/web/index.php/2013-04-07-09-50-07/2014/157-glycerol (archived at: www.webcitation.org/6arGjkSNT) [Accessed 17 August 2015].","Farsalinos, KE (2014b)",NA,www.ecigarette-research.com/web/index.php/2013-04-07-09-50-07/2014/157-glycerol(archivedat:www.webcitation.org/6arGjkSNT,NA,"Doctors, open your textbooks: glycerol CANNOT cause lipoid pneumonia (but other things can",Farsalinos KE,NA,NA,1,Journal article,0
"Brook RD, Rajagopalan S, Pope CA et al. Particulate matter air pollution and cardiovascular disease: An update to the scientific statement from the American Heart Association. Circulation 2010;121:2331–78.","Brook, RD et al. (2010)",10.1161/CIR.0b013e3181dbece1,Circulation2010;121:2331–78.,NA,Particulate matter air pollution and cardiovascular disease: An update to the scientific statement from the american heart association,Brook R.,Circulation,SCOPUS_ID:77953229216,1,Journal article,0
"Philip Morris International Inc. Philip Morris International (PMI) enters into a patent purchase agreement of new technology with the potential to reduce the harm of smoking (online), 26 May 2011. www.pmi.com/eng/media_center/press_releases/Pages/201105261249.aspx [Accessed 14
May 2015].",Philip Morris International (2011),NA,www.pmi.com/eng/media_center/press_releases/Pages/201105261249.aspx,NA,Philip Morris International (PMI) enters into a patent purchase agreement of new technology with the potential to reduce the harm of smoking (online),Philip Morris International,NA,NA,1,Journal article,0
"Aradigm Corporation. ARD-1600 – (Nicotine) Tobacco smoking cessation therapy (online), 2015. www.aradigm.com/products_1600.html (archived at:www.webcitation.org/6b8wTmlFx) [Accessed 29 August 2015].",Aradigm Corporation (2015),NA,www.aradigm.com/products_1600.html(archivedat:www.webcitation.org/6b8wTmlFx),NA,ARD-1600 – (Nicotine) Tobacco smoking cessation therapy,Aradigm Corporation,NA,NA,1,Journal article,0
"Smoking in England, www.smokinginengland.info [Accessed 29 March 2016].",Smoking in England (ND),NA,www.smokinginengland.info,NA,Smoking in England,Smoking in England,NA,NA,1,Journal article,0
"Kotz D, Brown J, West R. ‘Real-world’ effectiveness of smoking cessation treatments: a population study. Addiction 2014;109:491–9.","Kotz, D et al. (2014b)",10.1111/add.12429,Addiction2014;109:491–9.,NA,Real-world' effectiveness of smoking cessation treatments: A population study,Kotz D.,Addiction,SCOPUS_ID:84893833166,1,Journal article,0
"Hughes JR, Shiffman S, Callas P, Zhang J. A meta-analysis of the efficacy of over-thecounter nicotine replacement. Tob Control 2003;12:21–7.","Hughes, JR et al. (2003)",NA,TobControl2003;12:21–7.,NA,A meta-analysis of the efficacy of over-thecounter nicotine replacement.,"Hughes JR, Shiffman S, Callas P, Zhang J",NA,NA,1,Journal article,0
"Buchhalter AR, Acosta MC, Evans SE, Breland AB, Eissenberg T. Tobacco abstinence symptom suppression: the role played by the smoking-related stimuli that are delivered by denicotinized cigarettes. Addiction 2005;100:550–9.","Buchhalter, AR et al. (2005)",10.1111/j.1360-0443.2005.01030.x,Addiction2005;100:550–9.,NA,Tobacco abstinence symptom suppression: The role played by the smoking-related stimuli that are delivered by denicotinized cigarettes,Buchhalter A.,Addiction,SCOPUS_ID:17244380405,1,Journal article,0
"Cahill K, Stead LF, Lancaster T. Nicotine receptor partial agonists for smoking cessation. Cochrane Database of Syst Rev 2012;4:CD006103.","Cahill, K et al. (2012)",10.1002/14651858.CD006103.pub7,CochraneDatabaseofSystRev2012;4:CD006103.,NA,Nicotine receptor partial agonists for smoking cessation,Cahill K.,Cochrane Database of Systematic Reviews,SCOPUS_ID:84965099454,1,Journal article,0
"Hughes JR, Stead LF, Hartmann-Boyce J, Cahill K, Lancaster T. Antidepressants for smoking cessation. Cochrane Database of Syst Rev 2014;1:CD000031.","Hughes, JR et al. (2014)",10.1002/14651858.CD000031.pub4,CochraneDatabaseofSystRev2014;1:CD000031.,NA,Antidepressants for smoking cessation,Hughes J.,Cochrane Database of Systematic Reviews,SCOPUS_ID:85041535338,1,Journal article,0
"West RBJ, Shahab L. Estimating the population impact of e-cigarettes on smoking cessation and smoking prevalence in England. Addiction 2016;in press.","West, R and Shahab, L (2016)",NA,Addiction2016;inpress.,NA,Estimating the population impact of e-cigarettes on smoking cessation and smoking prevalence in England.,"West RBJ, Shahab L.",NA,NA,1,Journal article,0
"QIPP Programme (Quality, Innovation, Productivity and Prevention). The Lancet UK Policy Matters 2012;29 March.","Quality, Innovation, Productivity and Prevention (2012)",NA,TheLancetUKPolicyMatters2012;29March.,NA,"QIPP Programme (Quality, Innovation, Productivity and Prevention)","Quality, Innovation, Productivity and Prevention",NA,NA,1,Journal article,0
The Scottish Government/official report,The Scottish Government/official report,NA,Edinburgh:TheScottishGovernment/official report,NA,The Scottish health survey 2014.,The Scottish Government/official report,NA,NA,1,Journal article,0
"Taylor M, Leonardi-Bee J, Agboola S, McNeill A, Coleman T. Cost effectiveness of interventions to reduce relapse to smoking following smoking cessation. Addiction 2011;106:1819–26.","Taylor, M et al. (2011)",10.1111/j.1360-0443.2011.03493.x,Addiction2011;106:1819–26.,NA,Cost effectiveness of interventions to reduce relapse to smoking following smoking cessation,Taylor M.,Addiction,SCOPUS_ID:80052758884,1,Journal article,0
"Li Z, Liu J, Ye R et al. Maternal passive smoking and risk of cleft lip with or without cleft palate. Epidemiology 2010;21:240–2","Li, Z et al. (2010)",10.1097/EDE.0b013e3181c9f941,Epidemiology2010;21:240–2,NA,Maternal passive smoking and risk of cleft lip with or without cleft palate,Li Z.,Epidemiology,SCOPUS_ID:77249083198,1,Journal article,0
"Cooper S, Lewis S, Thornton J et al. The SNAP trial: a randomised placebo-controlled trial of nicotine replacement therapy in pregnancy – clinical effectiveness and safety until 2 years after delivery, with economic evaluation. Health Technol Assess 2014;18(54):1–128.","Cooper, S et al. (2014)",10.3310/hta18540,HealthTechnolAssess2014;18(54):1–128.,NA,"The SNAP trial: A randomised placebo-controlled trial of nicotine replacement therapy in pregnancy - Clinical effectiveness and safety until 2 years after delivery, with economic evaluation",Cooper S.,Health Technology Assessment,SCOPUS_ID:84907320419,1,Journal article,0
"Taylor M, Lewis L. An economic evaluation of different interventions to promote tobacco harm reduction final report. York: York Health Economics Consortium, 2013.","Taylor, M and Lewis, L (2013)",NA,"York:YorkHealthEconomicsConsortium,2013.",NA,An economic evaluation of different interventions to promote tobacco harm reduction final report.,"Taylor M, Lewis L",NA,NA,1,Journal article,0
"Cobb CO, Villanti AC, Graham AL et al. Markov modeling to estimate the population impact of emerging tobacco products: a proof-of-concept study. Tob Regul Sci 2015;1:129–41.","Cobb, CO et al. (2105)",NA,TobRegulSci2015;1:129–41.,NA,Markov modeling to estimate the population impact of emerging tobacco products: a proof-of-concept study,"Cobb CO, Villanti AC, Graham AL et al",NA,NA,1,Journal article,0
Torjesen I. Tobacco industry is investing in electronic cigarette types least likely to help smokers quit. BMJ 2015;350:h2133,"Torjesen, I (2015)",NA,BMJ2015;350:h2133,NA,Tobacco industry is investing in electronic cigarette types least likely to help smokers quit.,Torjesen I,NA,NA,1,Journal article,0
"Hedley D. A tale of two joint ventures – Goodbye snus, hello e-vapour? Opinion 27 July 2015.","Hedley, D (2015)",NA,Opinion27July2015.,NA,"A tale of two joint ventures – Goodbye snus, hello e-vapour? O",Hedley D,NA,NA,1,Journal article,0
"Hajek P, Foulds J, Houezec JL, Sweanor D, Yach D. Should electronic cigarettes be regulated as a medicinal device? Lancet Respir Med 2013;1(6):429–31.","Hajek, P et al. (2013)",NA,LancetRespirMed2013;1(6):429–31.,NA,Should electronic cigarettes be regulated as a medicinal device?,"Hajek P, Foulds J, Houezec JL, Sweanor D, Yach D.",NA,NA,1,Journal article,0
"Gornall J. Why electronic cigarettes are dividing the public health community? BMJ
2015;350:h3317.","Gornall, J (2015)",NA,BMJ2015;350:h3317.,NA,Why electronic cigarettes are dividing the public health community?,Gornall J.,NA,NA,1,Journal article,0
"Hajek P. Nicotine and public health. Michael Russell Oration, Global Forum on Nicotine, Warsaw, 27 June 2014.","Hajek, P (2014)",NA,"GlobalForumonNicotine,Warsaw,27June2014.",NA,Nicotine and public health. Michael Russell Oration,Hajek P,NA,NA,1,Journal article,0
Elam M. Nicorette reborn? Electronic cigarettes in light of the history of nicotine replacement technology. Int J Drug Policy 2015;26:536–542.,"Elam, M (2015)",NA,IntJDrugPolicy2015;26:536–542,NA,Nicorette reborn? Electronic cigarettes in light of the history of nicotine replacement technology.,Elam M,NA,NA,1,Journal article,0
"Peto R, Lopez A, Boreham J, et al (2015)  Mortality from smoking in developed countries 1950-2020.","Peto, R et al. (2015)",NA,NA,NA,Mortality from smoking in developed countries 1950-2020,"Peto R, Lopez A, Boreham J, et al",NA,NA,1,Journal article,0
"Jarvis et al (2012)Impact of smoke-free legislation on children's exposure to secondhand smoke: cotinine data from the Health Survey for England. Tobacco Control , 21 (1) 18 - 23",Jarvis et al. (2012),NA,"TobaccoControl,21(1)18-23",NA,)Impact of smoke-free legislation on children's exposure to secondhand smoke: cotinine data from the Health Survey for England.,Jarvis et al,NA,NA,1,Journal article,0
"Gilmore, A and Peeters, S (2013) Understanding corporations to inform public health policy: the example of tobacco industry interests in harm reduction and reduced risk products. The Lancet, Volume 382, Page S14, 29 November 2013","Gilmore, A and Peeters, S (2013)",NA,"TheLancet,Volume382,PageS14,29November2013",NA,Understanding corporations to inform public health policy: the example of tobacco industry interests in harm reduction and reduced risk products.,"Gilmore, A and Peeters, S",NA,NA,1,Journal article,0
"The Lancet, “Public Health England’s Evidence-Based Confusion” The Lancet, vol. 386, p. 829, 2015.",Public Health England (2015d),NA,"TheLancet,vol.386,p.829,2015.",NA,“Public Health England’s Evidence-Based Confusion,Public Health England,NA,NA,1,Journal article,0
"F. Davanzo, L. Settimi, G. Milanesi, F. Giordano, F. M. Sesana, A. Celentano, E. Urbani, G. Panzavolta, L. Cossa, A. Tomoiaga, A. Travaglia and V. Dimasi, “Surveillance of Hazardous Exposures to Electronic Cigarettes in Italy” Clinical Toxicology, vol. 52, no. Supp, pp. 336-337, 2014.","Davanzo, F et al. (2014)",NA,"ClinicalToxicology,vol.52,no.Supp,pp.336-337,2014",NA,“Surveillance of Hazardous Exposures to Electronic Cigarettes in Italy”,"F. Davanzo, L. Settimi, G. Milanesi, F. Giordano, F. M. Sesana, A. Celentano, E. Urbani, G. Panzavolta, L. Cossa, A. Tomoiaga, A. Travaglia and V. Dimasi,",NA,NA,1,Journal article,0
"S. W. Lindberg, N. Ebbehoej, J. Bang and L. B. Christensen, “Nicotine Poisoning Related to the Use of E-cigarettes” Clinical Toxicology, vol. 53, no. 4, 2015.","Lindberg, SW et al. (2015)",NA,"ClinicalToxicology,vol.53,no.4,2015.",NA,“Nicotine Poisoning Related to the Use of E-cigarettes”,"S. W. Lindberg, N. Ebbehoej, J. Bang and L. B. Christensen",NA,NA,1,Journal article,0
"S. Pajarre-Sorsa, M. Saukkonen and K. Hoppu, “Calls Concerning Electronic Cigarettes to the Finnish Poison Information Centre” Clinical Toxicology, vol. 52, no. Supp, p. 337, 2014.","Pajarre-Sorsa, S et al. (2014)",NA,"ClinicalToxicology,vol.52,no.Supp,p.337,2014.",NA,“Calls Concerning Electronic Cigarettes to the Finnish Poison Information Centre”,"S. Pajarre-Sorsa, M. Saukkonen and K. Hoppu,",NA,NA,1,Journal article,0
"E. Thomas, R. A. Spears, G. Alldridge, C. V. Krishna, J. P. Thompson, M. Eddleston, J. A. Vale and S. H. L. Thomas, “E-cigarette Liquid Refills – a Safe Beverage? Analysis of Enquiries to the UK National Poisons Information Service from 2007 to 2013” Clinical Toxicology, vol. 52, no. Supp, pp. 338-339, 2014.","Thomas, E et al. (2014)",NA,"ClinicalToxicology,vol.52,no.Supp,pp.338-339,2014.",NA,“E-cigarette Liquid Refills – a Safe Beverage? Analysis of Enquiries to the UK National Poisons Information Service from 2007 to 2013”,"E. Thomas, R. A. Spears, G. Alldridge, C. V. Krishna, J. P. Thompson, M. Eddleston, J. A. Vale and S. H. L. Thomas,",NA,NA,1,Journal article,0
"K. Chatterjee, B. Alzghoul, A. Innabi and N. Meena, “Is Vaping a Gateway to Smoking: a Review of the Longitudinal Studies” Int J Adolesc Med Health, 2016.","Chatterjee, K et al. (2016)",10.1515/ijamh-2016-0033,"IntJAdolescMedHealth,2016.",NA,Is vaping a gateway to smoking: A review of the longitudinal studies,Chatterjee K.,International Journal of Adolescent Medicine and Health,SCOPUS_ID:85049063653,1,Journal article,0
Australian Institute for Health and Welfare. National Drug Strategy Household Survey detailed report: 2013. Canberra; 2014. Report No.: Cat. no. PHE 183.,Australian Institute for Health and Welfare (2014),NA,2013.Canberra;2014.ReportNo.:Cat.no.PHE183.,NA,National Drug Strategy Household Survey detailed report,Australian Institute for Health and Welfare,NA,NA,1,Journal article,0
"Harrold TC, Maag AK, Thackway S, Mitchell J, Taylor LK. Prevalence of e-cigarette users in New South Wales. The Medical journal of Australia. 2015;203(8):326","Harrold, TC et al. (2015)",10.5694/mja15.00652,TheMedicaljournalofAustralia.2015;203(8):326,NA,Prevalence of e-cigarette users in New South Wales,Harrold T.,The Medical journal of Australia,SCOPUS_ID:84959073082,1,Journal article,0
"Ioakeimidis N, Vlachopoulos C, Tousoulis D. Efficacy and safety of electronic cigarettes for smoking cessation: a critical approach. Hellenic Journal of Cardiology. 2016;57(1):1-6;","Loakeimidis, N et al. (2016)",NA,HellenicJournalofCardiology.2016;57(1):1-6;,NA,Efficacy and safety of electronic cigarettes for smoking cessation: A critical approach,Ioakeimidis N.,Hellenic Journal of Cardiology,SCOPUS_ID:84957673984,1,Journal article,0
"Hessa IM, Lachireddya K, Capona A. A systematic review of the health risks from passive exposure to electronic cigarette vapour. 2016; ;","Hessa, IM et al. (2016)",NA,NA,NA,A systematic review of the health risks from passive exposure to electronic cigarette vapour.,"Hessa IM, Lachireddya K, Capona A",NA,NA,1,Journal article,0
"Hessa IM, Lachireddya K, Capona A. A systematic review of the health risks from passive exposure to electronic cigarette vapour. 2016; Hajek P, Etter J-F, Benowitz N, Eissenberg T, McRobbie H. Electronic cigarettes: Review of use, content, safety, effects on smokers, and potential for harm and benefit. Addiction (Abingdon, England). 2014;109(11):1801-10.","Hessa, IM et al. (2014)",NA,NA,NA,A systematic review of the health risks from passive exposure to electronic cigarette vapour. 2016;,"Hessa IM, Lachireddya K, Capona A.",NA,NA,1,Journal article,0
"Pulvers K, Sun JY, Zhuang Y-L, Holguin G, Zhu S-H. Internet-based Advertising Claims and Consumer Reasons for Using Electronic Cigarettes by Device Type in the US. Tobacco regulatory science. 2017;3(4):516-24","Pulvers, K et al. (2017)",NA,Tobaccoregulatoryscience.2017;3(4):516-24,NA,Internet-based Advertising Claims and Consumer Reasons for Using Electronic Cigarettes by Device Type in the US.,"Pulvers K, Sun JY, Zhuang Y-L, Holguin G, Zhu S-H.",NA,NA,1,Journal article,0
"Dai H. Direct Marketing Promotion and Electronic Cigarette Use Among US Adults, National Adult Tobacco Survey, 2013–2014. Centers for Disease Control and Prevention,; 2017","Dai, H (2017)",NA,"CentersforDiseaseControlandPrevention,;2017",NA,"Direct Marketing Promotion and Electronic Cigarette Use Among US Adults, National Adult Tobacco Survey, 2013–2014",Dai H.,NA,NA,1,Journal article,0
"Begg S., Vos T., Barker B., Stevenson C., Stanley L., and Lopez AD., (2007) The Burden of Disease and Injury in Australia 2003, PHE 82 Canberra: Australian Institute of Health and Welfare, p76.","Begg, S et al. (2003)",NA,NA,NA,"Burden of disease and injury in Australia in the new millennium: Measuring health loss from diseases, injuries and risk factors",Begg S.,Medical Journal of Australia,SCOPUS_ID:40449096981,1,Journal article,0
"Collins, DJ., & Lapsley HM. (2008). The cost of tobacco, alcohol and illicit drugs abuse in Australian society in 2004/5. University of NSW.","Collins, DJ and Lapsley, HM (2008)",NA,NA,NA,"The cost of tobacco, alcohol and illicit drugs abuse in Australian society in 2004/5.","Collins, DJ., & Lapsley HM.",NA,NA,1,Journal article,0
"Cahill K, Hartmann-Boyce J, Perera R. Incentives for smoking cessation. Cochrane Database of Systematic Reviews 2015, Issue 5. Art. No.: CD004307. DOI: 10.1002/14651858.CD004307.pub 5.","Cahill, K et al. (2015)",10.1002/14651858.CD004307.pub5,NA,NA,Incentives for smoking cessation,Cahill K.,Cochrane Database of Systematic Reviews,SCOPUS_ID:84939248982,1,Journal article,0
"Hughes, JR. Keely J., Naud S. (2004). Shape of the relapse curve and long term abstinence among untreated smokers. Addiction, 99:29-38.","Hughes, JR et al. (2004)",10.1111/j.1360-0443.2004.00540.x,NA,NA,Shape of the relapse curve and long-term abstinence among untreated smokers,Hughes J.,Addiction,SCOPUS_ID:0942301180,1,Journal article,0
"Stead LF, Bergson G, Lancaster T. Physician advice for smoking cessation. Cochrane Database Syst Rev 2008, Issue 2. Art. no. CD000165. Search PubMed.","Stead, LF et al. (2008)",10.1002/14651858.CD000165.pub4,NA,NA,Physician advice for smoking cessation,Stead L.,Cochrane Database of Systematic Reviews,SCOPUS_ID:84880302528,1,Journal article,0
"Freeman B. Chapman, S & Rimmer, M. (2008). The case for plain packaging of tobacco products. School of Population Health, University of Sydney.","Freeman, B et al. (2008)",10.1111/j.1360-0443.2008.02145.x,NA,NA,The case for the plain packaging of tobacco products,Freeman B.,Addiction,SCOPUS_ID:40749155430,1,Journal article,0
P Jha FC. The economics of global tobacco control. BMJ 2000;321:358-361.,"Jha, P and Chaloupka, FJ (2000)",NA,NA,NA,The economics of global tobacco control,Jha P.,British Medical Journal,SCOPUS_ID:0034609262,1,Journal article,0
"Benowitz NL, Hall SM, Herning RI, Jacob III P, Jones RT, Osman AL. Smokers of low-yield cigarettes do not con- sume less nicotine. New England Journal of Medicine 1983;309(3):139–42","Benowitz, NL et al. (1983)",10.1056/NEJM198307213090303,NewEnglandJournalofMedicine,NA,Smokers of Low-Yield Cigarettes Do Not Consume Less Nicotine,Benowttz N.,New England Journal of Medicine,SCOPUS_ID:0020639873,1,Journal article,0
"Bonnie  RJ, Stratton   KR, Wallace RB, editors.  Ending the Tobacco Problem: A Blueprint for the Nation. Washington (DC): National Academies Press, 2007.","Bonnie, RJ et al. (2007)",10.17226/11795,NA,NA,Ending the tobacco problem: A blueprint for the nation,Bonnie R.,Ending the Tobacco Problem: A Blueprint for the Nation,SCOPUS_ID:84988892647,1,Journal article,0
Etter JF. Commentary on Dawkins et al. (2013): the cur- rent legislation on nicotine causes millions of deaths— it has to change. Addiction 2013;108(6):1126.,"Etter, JF (2013)",10.1111/add.12176,NA,NA,Commentary on Dawkins etal. (2013): The current legislation on nicotine causes millions of deaths-it has to change,Etter J.,Addiction,SCOPUS_ID:84877664431,1,Journal article,0
Gottleib S. Supreme Court rules that FDA cannot regulate tobacco industry. BMJ 2000;320(7239):894.,"Gottleib, S (2000)",NA,NA,NA,Supreme Court rules that FDA cannot regulate tobacco industry.,Gottleib S.,BMJ (Clinical research ed.),SCOPUS_ID:0034171328,1,Journal article,0
"Harris JK, Moreland-Russell S, Choucair B, Mansour R, Staub M, Simmons K. Tweeting for and against public health policy: response to the Chicago Department  of Public Health’s electronic cigarette Twitter campaign. Journal of Medical Internet Research 2014;16(10):e238.","Harris, JK et al. (2014)",10.2196/jmir.3622,NA,NA,Tweeting for and against public health policy: Response to the Chicago Department of Public Health's electronic cigarette Twitter campaign,Harris J.,Journal of Medical Internet Research,SCOPUS_ID:84910125211,1,Journal article,0
"Henningfield JE, Moolchan ET, Zeller M. Regulatory strat- egies to reduce  tobacco addiction  in youth.  Tobacco Control 2003;12(Suppl 1):i14–i24.","Henningfield, JE et al. (2003)",NA,NA,NA,Regulatory strategies to reduce tobacco addiction in youth,Henningfield J.,Tobacco Control,SCOPUS_ID:0842303376,1,Journal article,0
"Kong G, Morean ME, Cavallo DA, Camenga DR, Krishnan- Sarin S. Reasons for electronic cigarette experi- mentation   and  discontinuation  among   adolescents and   young   adults.   Nicotine   &  Tobacco  Research 2015;17(7):847–54.","Kong, G et al. (2015)",NA,Nicotine&TobaccoResearch2015;17(7):847–54.,NA,Reasons for electronic cigarette experi- mentation and discontinuation among adolescents and young adults.,"Kong G, Morean ME, Cavallo DA, Camenga DR, Krishnan- Sarin S.",NA,NA,1,Journal article,0
"Kostygina G, Glantz SA, Ling PM. Tobacco industry use of flavours to recruit  new users of little cigars and ciga- rillos. Tobacco Control 2014.","Kostygina, G et al. (2014)",NA,TobaccoControl2014.,NA,Tobacco industry use of flavours to recruit new users of little cigars and ciga- rillos,"Kostygina G, Glantz SA, Ling PM.",NA,NA,1,Journal article,0
"Krishnan-Sarin  S, Morean ME, Camenga DR, Cavallo DA, Kong G. E-cigarette use among high school and middle school adolescents in Connecticut. Nicotine & Tobacco Research 2015;17(7):810–8.","Krishnan-Sarin, S et al. (2015)",NA,Nicotine&TobaccoResearch2015;17(7):810–8.,NA,E-cigarette use among high school and middle school adolescents in Connecticu,"Krishnan-Sarin S, Morean ME, Camenga DR, Cavallo DA, Kong G",NA,NA,1,Journal article,0
"Lempert  LK, Grana  R, Glantz  SA. The  importance  of product definitions in U.S. e-cigarette laws and regula- tions. Tobacco Control 2016;25(e1):e44–e51.","Lempert, LK et al. (2016)",NA,TobaccoControl2016;25(e1):e44–e51.,NA,The importance of product definitions in U.S. e-cigarette laws and regula- tions.,"Lempert LK, Grana R, Glantz SA",NA,NA,1,Journal article,0
"Morean ME, Kong G, Camenga  DR, Cavallo DA, Krishnan-Sarin  S. High school students’ use of elec- tronic   cigarettes   to   vaporize   cannabis.   Pediatrics 2015;136(4):611–6.","Morean, ME et al. (2015)",NA,Pediatrics2015;136(4):611–6.,NA,High school students’ use of elec- tronic cigarettes to vaporize cannabis,"Morean ME, Kong G, Camenga DR, Cavallo DA, Krishnan-Sarin S.",NA,NA,1,Journal article,0
"Russell MAH, Sutton  SR, Iyer R, Feyerabend C, Vesey CJ. Long-term  switching  to  low-tar  low-nicotine  ciga- rettes. British Journal of Addiction 1982;77(2):145–58.","Russell, MA et al. (1982)",10.1111/j.1360-0443.1982.tb01416.x,BritishJournalofAddiction1982;77(2):145–58.,NA,Long‐Term Switching to Low‐Tar Low‐Nicotine Cigarettes,Russell M.,British Journal of Addiction,SCOPUS_ID:0019987736,1,Journal article,0
"Sanford Z, Goebel L. E-cigarettes: an up to date review and discussion  of the  controversy.  West Virginia Medical Journal 2014;110(4):10–5.","Sanford, Z and Goebel, L (2014)",NA,WestVirginiaMedicalJournal2014;110(4):10–5.,NA,E-cigarettes: an up to date review and discussion of the controversy,Sanford Z.,The West Virginia medical journal,SCOPUS_ID:84921840912,1,Journal article,0
"Schweitzer KS, Chen SX, Law S, Van Demark M, Poirier C, Justice MJ, Hubbard WC, Kim ES, Lai X, Wang M, et  al. Endothelial  disruptive  proinflammatory  effects of nicotine and e-cigarette vapor exposures. American Journal of Physiology: Lung Cellular and Molecular Physiology 2015;309(2):L175–87.","Schweitzer, KS et al. (2015)",10.1152/ajplung.00411.2014,AmericanJournalofPhysiology:LungCellularandMolecularPhysiology2015;309(2):L175–87.,NA,Endothelial disruptive proinflammatory effects of nicotine and e-cigarette vapor exposures,Schweitzer K.,American Journal of Physiology - Lung Cellular and Molecular Physiology,SCOPUS_ID:84937404195,1,Journal article,0
"Stratton  K, Shetty  P, Wallace R, Bondurant  S, editors. Clearing the Smoke: Assessing the Science Base for Tobacco Harm Reduction. Washington (DC): National Academies Press, 2001.","Stratton, K et al. (2001)",NA,"Washington(DC):NationalAcademiesPress,2001.",NA,Clearing the Smoke: Assessing the Science Base for Tobacco Harm Reduction.,"Stratton K, Shetty P, Wallace R, Bondurant S,",NA,NA,1,Journal article,0
"Thun MJ, Burns DM. Health impact of “reduced yield” cigarettes: a critical assessment of the epidemiological evi- dence. Tobacco Control 2001;10(Suppl 1):i4–i11.","Thun, MJ and Burns, DM (2001)",NA,TobaccoControl2001;10(Suppl1):i4–i11.,NA,"Health impact of ""reduced yield"" cigarettes: A critical assessment of the epidemiological evidence",Thun M.,Tobacco Control,SCOPUS_ID:0035226476,1,Journal article,0
"Warner KE, Martin EG. The U.S. tobacco control  com- munity’s view of the future of tobacco harm reduction. Tobacco Control 2003;12(4):383–90.","Warner, KE and Martin, EG (2003)",NA,TobaccoControl2003;12(4):383–90.,NA,The U.S. tobacco control community’s view of the future of tobacco harm reduction,"Warner KE, Martin EG",NA,NA,1,Journal article,0
"Centers for Disease Control and Prevention. Tobacco product  use      among      adults—United      States, 2012–2013.  Morbidity  and  Mortality  Weekly  Report 2014a;63(25):542–7.",Centers for Disease Control and Prevention (2014b),NA,MorbidityandMortalityWeeklyReport2014a;63(25):542–7.,NA,"Tobacco product use among adults—United States, 2012–2013.",Centers for Disease Control and Prevention,NA,NA,1,Journal article,0
"Choi K, Forster J. Characteristics  associated with aware- ness,   perceptions,   and   use   of  electronic nicotine delivery systems among young U.S. Midwestern adults. American Journal of Public Health 2013;103(3):556–61.","Choi, K and Forster, JL (2013)",NA,AmericanJournalofPublicHealth2013;103(3):556–61.,NA,"Characteristics associated with awareness, perceptions, and use of electronic nicotine delivery systems among young U.S. Midwestern adults","Choi K, Forster J.",NA,NA,1,Journal article,0
"Choi K, Forster JL. Author’s response. American Journal of Preventive Medicine 2014a;46(6):e58–e59.","Choi, K and Forster, JL (2014b)",NA,AmericanJournalofPreventiveMedicine2014a;46(6):e58–e59.,NA,Author’s response.,"Choi K, Forster JL.",NA,NA,1,Journal article,0
"Cobb CO, Villanti AC, Graham AL, Pearson JL, Glasser AM, Rath JM, Stanton  CA, Levy DT, Abrams DB, Niaura R. Markov modeling to estimate the population impact of emerging tobacco products: A proof-of-concept study. Tobacco Regulatory Science 2015;1(2):129–41.","Cobb, CO et al. (2015)",NA,TobaccoRegulatoryScience2015;1(2):129–41.,NA,Markov modeling to estimate the population impact of emerging tobacco products: A proof of concept study.,"Cobb CO, Villanti AC, Graham AL, Pearson JL, Glasser AM, Rath JM, Stanton CA, Levy DT, Abrams DB, Niaura R.",NA,NA,1,Journal article,0
"Faletau J, Glover M, Nosa V, Pienaar F. Looks like smoking, is it smoking?: children’s perceptions of cigarette-like nicotine   delivery  systems,  smoking   and  cessation. Harm Reduction Journal 2013;10:30.","Faletau, J et al. (2013)",NA,HarmReductionJournal2013;10:30.,NA,"Looks like smoking, is it smoking? children’s perceptions of cigarette like nicotine delivery systems, smoking and cessation","Faletau J, Glover M, Nosa V, Pienaar F.",NA,NA,1,Journal article,0
"Kadimpati S, Nolan M, Warner DO. Attitudes, beliefs, and practices  regarding  electronic  nicotine  delivery sys- tems in patients  scheduled for elective surgery. Mayo Clinic Proceedings 2015;90(1):71–6.","Kadimpati, S et al. (2015)",10.1016/j.mayocp.2014.11.005,MayoClinicProceedings2015;90(1):71–6.,NA,"Attitudes, beliefs, and practices regarding electronic nicotine delivery systems in patients scheduled for elective surgery",Kadimpati S.,Mayo Clinic Proceedings,SCOPUS_ID:84920504127,1,Journal article,0
