Reference,nrefs,Full Reference
"Blank, MD et al. (2009)",1,"Blank  MD, Disharoon  S,  Eissenberg  T. Comparison  of methods for measurement of smoking behavior: mouthpiece-based computerized     devices    versus direct   observation.   Nicotine   &  Tobacco  Research 2009;11(7):896–903."
"Boden, JM et al. (2010)",1,"Boden JM, Fergusson DM, Horwood LJ. Cigarette smoking and   depression:   tests   of  causal   linkages   using   a longitudinal birth cohort. British Journal of Psychiatry 2010;196(6):440–6"
"Bohrer, J (2015)",1,"Bohrer J. Stealth vaping, 2015; <http://vapenewsmaga- zine.com/october-2014/stealth-vaping>;  accessed: May 23, 2015."
"Boutwell, BB and Beaver, KM (2010)",1,"Boutwell BB, Beaver KM. Maternal cigarette  smoking during pregnancy and offspring externalizing behav- ioral problems: a propensity score matching  analysis. International  Journal of Environmental  Research and Public Health 2010;7(1):146–63."
"Brady, S et al. (2012)",1,"Brady S, Siegel G, Albers RW, Price D, editors. Basic neu- rochemistry: principles of molecular, cellular and medical neurobiology. Amsterdam: Elsevier, 2012."
"Brennan, C (2015)",1,"Brennan  C. Man sues  e-cigarette  store  for  $1  million after  batteries  explode in  his  cargo  shorts  and  give him second degree burns on his crotch. Daily Mail, March 12, 2015; <http://www.dailymail.co.uk/news/ article-2991815/Man-sues-e-cigarette-store-1million- batteries-explode-cargo-shorts-send-sparks-flying- crotch-kickball-game.html>; accessed: April 21, 2015."
"Brielmaier, JM et al. (2007)",1,"Brielmaier JM, McDonald CG, Smith RF. Immediate and long-term behavioral effects of a single nicotine injec- tion in adolescent and adult rats. Neurotoxicology and Teratology 2007;29(1):74–80."
"Britton, AF et al. (2007)",1,"Britton AF, Vann RE, Robinson SE. Perinatal nicotine expo- sure eliminates peak in nicotinic acetylcholine receptor response in adolescent rats. Journal of Pharmacology and Experimental  Therapeutics 2007;320(2):871–6."
"Bronisch, T et al. (2008)",1,"Bronisch  T, Hofler M, Lieb R. Smoking  predicts  suicid- ality: findings from a prospective community study. Journal of Affective Disorders 2008;108(1–2):135–45."
"Brook, JS et al. (2007)",1,"Brook JS, Balka EB, Ning Y, Brook DW. Trajectories of cig- arette  smoking among African Americans and Puerto Ricans from adolescence to young adulthood: associ- ations with dependence on alcohol and illegal drugs. American Journal on Addictions 2007;16(3):195–201."
"Bruin, JE et al. (2010)",1,"Bruin JE, Gerstein HC, Holloway AC. Long-term  conse- quences of fetal and neonatal nicotine exposure: a crit- ical review. Toxicological Sciences 2010;116(2):364–74."
"Buka, SL et al. (2003)",1,"Buka SL, Shenassa ED, Niaura R. Elevated risk of tobacco dependence among offspring of mothers  who smoked during    pregnancy:   a   30-year   prospective   study. American Journal of Psychiatry 2003;160(11):1978–84"
"Burstyn, I (2014)",2,Burstyn I. Peering through  the mist: systematic review of what the chemistry of contaminants in electronic ciga- rettes  tells us about health  risks. BMC Public Health 2014;14:18.
California Department of Public Health (2015),1,"California Department of Public Health. State Health Officer’s Report on E-cigarettes: A Community Health Threat, 2015;<http://www.cdph.ca.gov/programs/tobacco/Documents/ Media/State%20Health-e-cig%20report.pdf>; accessed: April 28, 2015."
"Cantrell, FL (2014)",1,Cantrell  FL.  Adverse effects  of  e-cigarette   exposures. Journal of Community Health 2014;39(3):614–6.
"Cao, J et al. (2011)",1,"Cao J, Dwyer JB, Mangold JE, Wang J, Wei J, Leslie FM, Li MD. Modulation of cell adhesion  systems by pre- natal nicotine exposure in limbic brain regions of adolescent female rats. International  Journal of Neuropsychopharmacology 2011;14(2):157–74."
"Cao, J et al. (2013)",1,"Cao J, Wang J, Dwyer JB, Gautier NM, Wang S, Leslie FM, Li MD. Gestational nicotine exposure modifies myelin gene expression in the brains of adolescent rats with sex differences. Translational Psychiatry 2013;3:e247."
"Casey, BJ et al. (2005)",1,"Casey BJ, Tottenham  N, Liston  C, Durston  S. Imaging the developing brain: what have we learned about cognitive development? Trends in Cognitive Sciences 2005;9(3):104–10."
"Cavalca, E et al. (2013)",1,"Cavalca E,  Kong  G, Liss T, Reynolds EK, Schepis  TS, Lejuez CW, Krishnan-Sarin  S. A  preliminary  experi- mental  investigation  of peer influence  on risk-taking among  adolescent  smokers  and  non-smokers.  Drug and Alcohol Dependence 2013;129(1–2):163–6."
Centers for Disease Control and Prevention (1996),1,Centers for Disease Control and Prevention. Projected smoking-related  deaths     among     youth—United States.    Morbidity   and   Mortality   Weekly    Report 1996;45(44):971–4.
"Cervellin, G et al. (2013)",1,"Cervellin G, Luci M, Bellini C, Lippi G. Bad news about an  old  poison:  a  case  of nicotine  poisoning  due  to both ingestion and injection of the content  of an electronic  cigarette  refill.  Emergency   Care Journal 2013;9(18):53–4."
"Chaisson, NF et al. (2010)",1,"Chaisson NF, Kreiss K, Hnizdo E, Hakobyan A, Enright PL. Evaluation of methods to determine  excessive decline of forced expiratory volume in one second in workers exposed to diacetyl-containing flavorings. Journal of Occupational and Environmental  Medicine 2010;52(11):1119–23."
"Chang, GQ et al. (2013)",1,"Chang GQ, Karatayev O, Leibowitz SF. Prenatal exposure to nicotine stimulates neurogenesis of orexigenic pep- tide-expressing neurons in hypothalamus and amyg- dala. Journal of Neuroscience 2013;33(34):13600–11."
"Chen, H et al. (2007)",1,"Chen  H,  Matta  SG,  Sharp  BM. Acquisition  of  nico- tine self-administration in adolescent rats given pro- longed access to the drug. Neuropsychopharmacology 2007;32(3):700–9."
"Chen, WJ and Kelly, RB (2005)",1,"Chen WJ, Kelly RB. Effect of prenatal  or perinatal nico- tine exposure on neonatal thyroid status and offspring growth in rats. Life Sciences 2005;76(11):1249–58."
"Cheng, SS et al. (2009)",1,"Cheng SS, Liu JY, Huang CG, Hsui YR, Chen WJ, Chang ST. Insecticidal activities of leaf essential oils from Cinnamomum osmophloeum against three mosquito species. Bioresource Technology 2009;100(1):457–64."
Child Nicotine Poisoning Prevention Act (2016),1,"Child Nicotine Poisoning Prevention Act of 2015, Public Law 114-116, (2016)."
"Chistyakov, V et al. (2010)",1,"Chistyakov V,  Patkina  N, Tammimaki  A,  Talka R, Salminen  O, Belozertseva I,  Galankin  T, Tuominen R, Zvartau E. Nicotine exposure throughout early development   promotes   nicotine   self-administration in adolescent mice and induces long-lasting behav- ioural  changes.  European  Journal  of Pharmacology 2010;640(1–3):87–93."
"Choi, H et al. (2010)",1,"Choi H, Schmidbauer  N, Sundell J, Hasselgren M, Spengler J, Bornehag CG. Common household chemi- cals and the allergy risks in pre-school age children. PloS One 2010;5(10):e13423."
"Clark, S and Winter, CK (2015)",1,"Clark S, Winter CK. Diacetyl in foods: a review of safety and sensory characteristics. Comprehensive Reviews in Food Science and Food Safety 2015;14(5):634–43."
"Cobb, CO et al. (2015b)",1,"Cobb CO, Hendricks  PS, Eissenberg  T. Electronic  ciga- rettes  and  nicotine  dependence:  evolving  products, evolving problems. BMC Medicine 2015;13:119."
"Cocchiara, J et al. (2005)",1,"Cocchiara J, Letizia CS, Lalko J, Lapczynski A, Api AM. Fragrance  material  review on cinnamaldehyde.  Food and Chemical Toxicology 2005;43(6):867–923."
"Cohen, G et al. (2005)",1,"Cohen G, Roux JC, Grailhe R, Malcolm G, Changeux JP, Lagercrantz H. Perinatal exposure to nicotine causes deficits associated with a loss of nicotinic receptor func- tion. Proceedings of the National Academy of Sciences of the United States of America 2005;102(10):3817–21."
"Cohen, SM et al. (1992)",1,"Cohen SM, Garland EM, St John M, Okamura  T, Smith RA. Acrolein initiates  rat urinary bladder carcinogen- esis. Cancer Research 1992;52(13):3577–81."
"Colard, S et al. (2015)",1,"Colard S, O’Connell G, Verron T, Cahours X, Pritchard JD. Electronic cigarettes and indoor air quality: a simple approach  to  modeling  potential  bystander  exposures to nicotine. International  Journal of Environmental Research and Public Health 2015;12(1):282–99."
"Colby, SM et al. (2000)",1,"Colby SM, Tiffany ST, Shiffman S, Niaura RS. Are adoles- cent smokers dependent  on nicotine? A review of the evidence. Drug and Alcohol Dependence 2000;59(Suppl1): S83–S95."
"Coleman, T et al. (2012)",1,"Coleman  T, Chamberlain  C, Davey MA, Cooper  SE, Leonardi-Bee J. Pharmacological interventions for pro- moting smoking cessation during pregnancy. Cochrane Database of Systematic  Reviews 2012, Issue 9. Art. No.: CD010078. DOI: 10.1002/14651858.CD010078."
"Cornelius, MD et al. (2005)",1,"Cornelius MD, Leech SL, Goldschmidt L, Day NL. Is pre- natal tobacco exposure a risk factor for early adoles- cent smoking? A follow-up study. Neurotoxicology and Teratology 2005;27(4):667–76."
"Corona, M and Marcus, E (2015)",1,"Corona  M, Marcus  E.  Electronic  cigarette  blamed  for Sparks High gym explosion. USA Today, January 13, 2015; <http://www.usatoday.com/story/news/nation- now/2015/01/13/electronic-cigarette-gym-explosion- nevada/21699097/>; accessed: April 21, 2015."
"Counotte, DS et al. (2011)",1,"Counotte  DS, Goriounova NA, Li KW, Loos M, van der Schors   RC,  Schetters   D,  Schoffelmeer   AN,  Smit AB, Mansvelder HD, Pattij  T, et  al. Lasting synaptic changes underlie attention  deficits caused by nicotine exposure  during   adolescence.  Nature  Neuroscience 2011;14(4):417–9."
"Counotte, DS et al. (2009)",1,"Counotte DS, Spijker S, Van de Burgwal LH, Hogenboom F, Schoffelmeer AN, De Vries TJ, Smit AB, Pattij T. Long- lasting cognitive deficits resulting from adolescent nicotine  exposure in rats. Neuropsychopharmacology 2009;34(2):299–306."
"Cowperthwaite, B et al. (2007)",1,"Cowperthwaite B, Hains SM, Kisilevsky BS. Fetal behavior in smoking compared to non-smoking pregnant women. Infant Behavior & Development 2007;30(3):422–30."
"D’Onofrio, BM et al. (2012)",1,"D’Onofrio BM, Rickert ME, Langstrom  N, Donahue  KL, Coyne CA, Larsson  H, Ellingson  JM, Van  Hulle  CA, Iliadou AN, Rathouz  PJ, et  al. Familial confounding of the  association between maternal  smoking  during pregnancy and offspring substance use and problems. Archives of General Psychiatry 2012;69(11):1140–50."
D’Onofrio BM et al. (2008),1,"D’Onofrio BM, Van Hulle CA, Waldman ID, Rodgers JL, Harden  KP, Rathouz  PJ, Lahey BB. Smoking  during pregnancy  and  offspring  externalizing  problems:  an exploration of genetic and environmental  confounds. Development and Psychopathology 2008;20(1):139–64."
"Dahl, RE (2004)",1,Dahl RE. Adolescent brain development: a period of vul- nerabilities and opportunities. Keynote address. Annals of the New York Academy of Sciences 2004;1021:1–22.
"Dao, JM et al. (2011)",1,"Dao  JM,  McQuown  SC,  Loughlin   SE,   Belluzzi   JD, Leslie  FM. Nicotine  alters  limbic  function  in  ado- lescent   rat    by   a   5-HT1A  receptor    mechanism. Neuropsychopharmacology 2011;36(7):1319–31."
"DeJarnett, N et al. (2014)",1,"DeJarnett N, Conklin DJ, Riggs DW, Myers JA, O’Toole TE, Hamzeh I, Wagner S, Chugh A, Ramos KS, Srivastava S, et al. Acrolein exposure is associated with increased cardiovascular disease risk. JAMA: the Journal of the American Medical Association 2014;3(4):e000934."
"Dickson, PE et al. (2014)",1,"Dickson PE, Miller MM, Rogers TD, Blaha CD, Mittleman G. Effects of adolescent  nicotine  exposure and with- drawal on intravenous cocaine self-administration during  adulthood  in male C57BL/6J mice. Addiction Biology 2014;19(1):37–48."
"Dierker, L et al. (2012)",1,"Dierker  L, Swendsen  J,  Rose J,  He  J,  Merikangas  K. Transitions to regular smoking and nicotine dependence in the Adolescent National Comorbidity Survey (NCS- A). Annals of Behavioral Medicine 2012;43(3):394–401."
"Dierker, LC et al. (2007)",1,"Dierker  LC,  Donny  E,  Tiffany S,  Colby  SM,  Perrine N, Clayton RR. The association between cigarette smoking and DSM-IV nicotine dependence among first year college students.  Drug and Alcohol Dependence 2007;86(2-3):106–14."
"Dietz, PM et al. (2011)",1,"Dietz PM, Homa D, England LJ, Burley K, Tong VT, Dube SR, Bernert JT. Estimates of nondisclosure of cigarette smoking  among  pregnant  and  nonpregnant   women of reproductive age in the United States. American Journal of Epidemiology 2011;173(3):355–9."
"DiFranza, JR et al. (2002)",1,"DiFranza JR, Savageau JA, Rigotti NA, Fletcher K, Ockene JK, McNeill  AD, Coleman M, Wood C. Development of symptoms of tobacco dependence in youths: 30 month follow up data from the DANDY study. Tobacco Control 2002;11(3):228–35."
"Doll, R et al. (2004)",1,"Doll R, Peto R, Boreham J, Sutherland I. Mortality in rela- tion to smoking: 50 years’ observations on male British doctors. BMJ 2004;24;328(7455):1519."
"Doura, MB et al. (2008)",1,"Doura MB, Gold AB, Keller AB, Perry DC. Adult and peri- adolescent rats differ in expression of nicotinic cholin- ergic receptor  subtypes and in the  response  of these subtypes to chronic nicotine exposure. Brain Research 2008;1215:40–52."
"Duncan, JR et al. (2008)",1,"Duncan JR, Paterson  DS, Kinney HC. The development of nicotinic  receptors  in the  human  medulla  oblon- gata: inter-relationship with the serotonergic system. Autonomic Neuroscience 2008;144(1–2):61–75."
"Durante, AS et al. (2011)",1,"Durante  AS, Ibidi SM, Lotufo JP, Carvallo RM. Maternal smoking during pregnancy: impact on otoacoustic emissions  in  neonates.  International  Journal of Pediatric Otorhinolaryngology  2011;75(9):1093–8."
"Duranty, A (2015)",1,"Duranty A. OCFA:  man injured after e-cigarette explodes near his face in Santa Ana apartment.  The Orange County Register, March 9, 2015; <http://www. ocregister.com/articles/fire-653537-concialdi-ocfa. html>; accessed: April 21, 2015."
"Dutra, LM and Glantz, SA (2014a)",1,"Dutra LM, Glantz SA. High international electronic ciga- rette use among never smoker adolescents. Journal of Adolescent Health 2014;55(5):595–7."
"Dwyer, JB et al. (2008)",1,"Dwyer JB, Broide RS, Leslie FM. Nicotine and brain devel- opment. Birth Defects Research. Part C: Embryo Today 2008;84(1):30–44."
"Egilman, DS et al. (2011)",1,"Egilman   DS,  Schilling   JH,  Menendez  L.  A   proposal for a safe exposure level for diacetyl. International Journal of Occupational  and  Environmental   Health 2011;17(2):122–34."
"Ehlinger, DG et al. (2016)",1,"Ehlinger  DG, Bergstrom  HC, Burke JC, Fernandez  GM, McDonald CG, Smith RF. Adolescent nicotine-induced dendrite   remodeling  in  the  nucleus   accumbens  is rapid,  persistent,  and  D1-dopamine  receptor  depen- dent. Brain Structure & Function 2016;221(1):133–45."
"Eissenberg, T (2010)",1,Eissenberg T. Electronic nicotine delivery devices: Ineffective  nicotine   delivery  and   craving  suppres- sion   after   acute   administration.  Tobacco   Control 2010;19(1):87–8.
"Ekblad, M et al. (2015)",1,"Ekblad M, Korkeila J, Lehtonen L. Smoking during preg- nancy affects foetal brain development. Acta Paediatrica 2015;104(1):12–8."
"Ernst, M and Fudge, JL (2009)",1,"Ernst   M, Fudge  JL.  A   developmental  neurobiological model  of motivated  behavior: anatomy,  connectivity and ontogeny of the triadic nodes. Neuroscience and Biobehavioral Reviews 2009;33(3):367–82."
"Estabrook, R et al. (2015)",1,"Estabrook R, Massey SH, Clark CAC, Burns JL, Mustanski TB, Cook EH, O’Brien TC, Makowski B, Espy KA, Wakschlag LS. Separating family-level and direct expo- sure effects of smoking during pregnancy on offspring externalizing symptoms: bridging the behavior genetic and behavior teratologic  divide. Behavioral Genetics 2015;18:1–14."
"Etter, JF (2016)",1,Etter JF. A longitudinal study of cotinine in long-term daily users  of e-cigarettes.  Drug and  Alcohol Dependence 2016;160:218–21.
"Falk, L et al. (2005)",1,"Falk L, Nordberg A, Seiger A, Kjaeldgaard A, Hellstrom- Lindahl E. Smoking during early pregnancy affects the expression pattern of both nicotinic and muscarinic ace- tylcholine receptors in human first trimester brainstem and cerebellum. Neuroscience 2005;132(2):389–97."
"Famele, M et al. (2015)",1,"Famele M, Ferranti C, Abenavoli C, Palleschi L, Mancinelli R,  Draisci  R.  The  chemical   components   of  elec- tronic  cigarette  cartridges  and refill fluids: review of analytical  methods.   Nicotine   &  Tobacco  Research 2015;17(3):271–9."
"Farley, SM et al. (2014)",1,"Farley SM, Seoh H, Sacks R, Johns M. Teen use of flavored tobacco products in New York City. Nicotine & Tobacco Research 2014;16(11):1518–21."
"Faroon, O et al. (2008)",1,"Faroon O, Roney N, Taylor J, Ashizawa  A, Lumpkin MH, Plewak DJ. Acrolein health effects. Toxicology and Industrial Health 2008;24(7):447–90."
"Farsalinos, KE et al. (2015e)",1,"Farsalinos KE, Gillman G, Poulas K, Voudris V. Tobacco- specific nitrosamines  in electronic cigarettes: compar- ison between liquid and aerosol levels. International Journal of Environmental  Research and Public Health 2015a;12(8):9046–53."
"Farsalinos, KE et al. (2014d)",1,"Farsalinos KE, Kistler KA, Gillman G, Voudris V. Evaluation of electronic cigarette liquids and aerosol for the pres- ence of selected inhalation toxins. Nicotine & Tobacco Research 2014a;17(2):168–74."
"Farsalinos, KE et al. (2015g)",1,"Farsalinos KE, Voudris  V, Poulas K. Are metals  emitted from electronic cigarettes a reason for health concern? A risk-assessment analysis of currently available literature. International Journal of Environmental Research and Public Health 2015b;12(5):5215–32."
"Farsalinos, KE et al. (2015f)",1,"Farsalinos KE, Voudris V, Poulas K. E-cigarettes generate high levels of aldehydes only in ‘dry puff’ conditions. Addiction 2015c;110(8):1352–6."
"Feng, Z et al. (2006)",1,"Feng Z, Hu W, Hu Y, Tang MS. Acrolein is a major ciga- rette-related lung cancer agent: preferential binding at p53 mutational  hotspots and inhibition of DNA repair. Proceedings of the  National  Academy  of Sciences  of the United States of America 2006;103(42):15404–9."
"Fergusson, DM et al. (1998)",1,"Fergusson  DM, Woodward LJ, Horwood LJ. Maternal smoking during pregnancy and psychiatric adjustment in  late  adolescence.  Archives  of  General  Psychiatry 1998;55(8):721–7."
"Ferrari, M et al. (2015)",1,"Ferrari M, Zanasi A, Nardi E, Morselli Labate AM, Ceriana P, Balestrino A, Pisani L, Corcione N, Nava S. Short- term effects of a nicotine-free e-cigarette compared to a traditional cigarette in smokers and non-smokers. BMC Pulmonary Medicine 2015;15:120."
"Fewell, JE and Smith, FG (1999)",1,"Fewell JE, Smith FG. Perinatal nicotine exposure impairs ability   of   newborn   rats   to   autoresuscitate    from apnea during  hypoxia. Journal of Applied Physiology 1998;85(6):2066–74."
"Fiore, MC et al. (2008)",1,"Fiore MC, Jaén CR, Baker TB, Bailey W, Benowitz N, Curry S, Dorfman  S, Froehlicher  E, Goldstein  M, Healton C, et al. Treating Tobacco Use and Dependence: 2008 Update—Clinical Practice Guidelines. Rockville (MD): U.S. Department of Health and Human Services, Public Health Service, 2008."
"Flouris, AD et al. (2012)",1,"Flouris  AD, Poulianiti  KP, Chorti  MS, Jamurtas  AZ, Kouretas D, Owolabi EO, Tzatzarakis MN, Tsatsakis AM, Koutedakis Y. Acute effects of electronic  and tobacco cigarette smoking on complete blood count. Food and Chemical Toxicology 2012;50(10):3600–3."
"Foulds, J et al. (2015)",1,"Foulds J, Veldheer  S, Yingst  J, Hrabovsky S, Wilson SJ, Nichols TT, Eissenberg T. Development of a question- naire for assessing dependence on electronic cigarettes among a large sample of ex-smoking e-cigarette users. Nicotine & Tobacco Research 2015;17(2):186–92."
Fox 5 Digital Team (2015),1,"Fox 5 Digital Team. E-cigarette explodes in man’s face, Fox 5 News, 2015; <http://fox5sandiego.com/2015/02/09/e- cigarette-explodes-in-mans-face/>;  accessed: April 21,2015"
"Franco, P et al. (1999)",1,"Franco P, Groswasser J, Hassid S, Lanquart JP, Scaillet S, Kahn A. Prenatal exposure to cigarette smoking is asso- ciated with a decrease in arousal in infants. Journal of Pediatrics 1999;135(1):34–8."
"Franke, RM et al. (2008)",1,"Franke RM, Park M, Belluzzi JD, Leslie FM. Prenatal nico- tine exposure changes natural  and drug-induced  rein- forcement  in adolescent male rats. European Journal of Neuroscience 2008;27(11):2952–61."
"Fuoco, FC et al. (2014)",2,"Fuoco FC, Buonanno G, Stabile L, Vigo P. Influential parameters on particle concentration and size distribu- tion in the mainstream  of e-cigarettes. Environmental Pollution 2014;184:523–9."
"Galvan, A et al. (2013)",1,"Galvan A, Schonberg  T, Mumford J, Kohno M, Poldrack RA, London ED. Greater risk sensitivity of dorsolateral prefrontal   cortex  in  young  smokers  than   in  non- smokers. Psychopharmacology  2013;229(2):345–55."
"Gao, YJ et al. (2005)",1,"Gao YJ, Holloway AC, Zeng ZH, Lim GE, Petrik JJ, Foster WG, Lee RM. Prenatal exposure to nicotine causes post- natal obesity and altered perivascular adipose tissue function. Obesity Research 2005;13(4):687–92."
"Gaysina, D et al. (2013)",1,"Gaysina D, Fergusson  DM, Leve LD, Horwood J, Reiss D, Shaw DS, Elam KK, Natsuaki MN, Neiderhiser JM, Harold GT. Maternal smoking  during  pregnancy  and offspring conduct problems: evidence from 3 inde- pendent genetically sensitive research designs. JAMA Psychiatry 2013;70(9):956–63."
"Gehricke, JG et al. (2007)",1,"Gehricke JG, Loughlin SE, Whalen CK, Potkin SG, Fallon JH, Jamner  LD, Belluzzi JD, Leslie FM. Smoking  to self-medicate  attentional  and  emotional  dysfunc- tions.   Nicotine   &  Tobacco  Research  2007;9(Suppl4):S523–S536."
"Giedd, JN and Rapoport, JL (2010)",1,"Giedd JN, Rapoport JL. Structural MRI of pediatric brain development: what have we learned and where are we going? Neuron 2010;67(5):728–34."
"Gilman, SE et al. (2008)",1,"Gilman SE, Gardener H, Buka SL. Maternal smoking during pregnancy and children’s cognitive and physical development: a causal risk factor? American Journal of Epidemiology 2008;168(5):522–31."
"Goel, R et al. (2015)",1,"Goel R, Durand  E, Trushin  N, Prokopczyk B, Foulds J, Elias RJ, Richie JP Jr. Highly reactive free radicals in electronic cigarette aerosols. Chemical Research in Toxicology 2015;28(9):1675–7."
"Goff, K and Schwartz, G (2015)",1,"Goff K, Schwartz  G. Anaheim Hills teen  injured  by exploding e-cig, NBC Los Angeles, 2015; <http://www. nbclosangeles.com/news/local/Anaheim-Hills-Teen- Injured-Exploding-E-Cig-291489711.html>; accessed: April 21, 2015."
"Goniewicz, ML and Lee, L (2015)",1,"Goniewicz ML, Lee L. Electronic  cigarettes  are a source of thirdhand  exposure to nicotine. Nicotine & Tobacco Research 2015;17(2):256–8."
"Gorini, C et al. (2013)",1,"Gorini C, Jameson H, Woerman AL, Perry DC, Mendelowitz D. Prenatal  nicotine  exposure enhances  the  trigemi- nocardiac reflex via serotonin  receptor  facilitation in brainstem  pathways.  Journal  of  Applied Physiology 2013;115(4):415–21."
"Goriounova, NA and Mansvelder, HD (2012)",1,"Goriounova NA, Mansvelder HD. Nicotine exposure during adolescence  leads  to  short-  and  long-term  changes in spike timing-dependent  plasticity in rat prefrontal cortex. Journal of Neuroscience 2012;32(31):10484–93."
"Grana, R et al. (2013)",1,"Grana R, Benowitz N, Glantz S. Background  Paper on E-Cigarettes (Electronic Nicotine Delivery Systems). San  Francisco  (CA): Center  for  Tobacco Control Research and Education, University of California, San Francisco, December 2013."
"Greenland, S et al. (1998)",1,"Greenland  S,  Satterfield  MH, Lanes  SF.  A  meta-anal- ysis to assess the  incidence of adverse effects associ- ated with the transdermal  nicotine patch. Drug Safety 1998;18(4):297–308."
"Griesler, PC et al. (2011)",1,"Griesler PC, Hu MC, Schaffran C, Kandel DB. Comorbid psychiatric disorders and nicotine dependence in ado- lescence. Addiction 2011;106(5):1010–20."
"Griesler, PC et al. (1998)",1,"Griesler  PC, Kandel  DB, Davies M. Maternal  smoking in  pregnancy,  child  behavior  problems,  and  adoles- cent  smoking.  Journal  of  Research  on  Adolescence 1998;8:159–85."
"Grove, KL et al. (2001)",1,"Grove KL, Sekhon HS, Brogan RS, Keller JA, Smith MS, Spindel ER. Chronic maternal nicotine exposure alters neuronal  systems in  the  arcuate  nucleus  that  regu- late feeding behavior in the newborn rhesus macaque. Journal  of  Clinical  Endocrinology  and  Metabolism 2001;86(11):5420–6."
"Gulley, JM and Juraska, JM (2013)",1,"Gulley JM, Juraska  JM. The effects of abused drugs  on adolescent development of corticolimbic circuitry and behavior. Neuroscience 2013;249:3–20."
"Gunnerbeck, A et al. (2011)",1,"Gunnerbeck  A,  Wikstrom  AK, Bonamy AK, Wickstrom R, Cnattingius  S. Relationship  of maternal  snuff use and cigarette smoking with neonatal apnea. Pediatrics 2011;128(3):503–9."
"Gupta, RS et al. (2011)",1,"Gupta RS, Springston EE, Warrier MR, Smith B, Kumar R, Pongracic J, Holl JL. The prevalence, severity, and dis- tribution of childhood food allergy in the United States. Pediatrics 2011;128(1):e9–e17"
"Guttenburg, A et al. (2014)",1,"Guttenburg A, Banerji S, Cozza  A, Bikkumalla S, Bronstein AC. E-cigarette exposure: regional poison center expo- sure trends. Clinical Toxicology 2014;52:808–9."
"Haghighi, A et al. (2013)",1,"Haghighi  A,  Schwartz  DH, Abrahamowicz M, Leonard GT, Perron  M, Richer L, Veillette  S, Gaudet D, Paus T, Pausova Z. Prenatal  exposure to maternal  cigarette smoking, amygdala volume, and fat intake in adoles- cence. JAMA Psychiatry 2013;70(1):98–105."
"Hahn, EJ et al. (2002)",1,"Hahn  EJ, Rayens MK, Chaloupka  FJ, Okoli CT, Yang  J. Projected Smoking-Related  Deaths Among U.S. Youth: A 2000 Update. Lexington (KY): University of Kentucky, 2002; <http://uknowledge.uky.edu/cgi/viewcontent.cgi ?article=1000&context=nursing_reports>;  accessed: September 12, 2016."
"Hamilton, BE et al. (2012)",1,"Hamilton  BE, Martin  JA, Ventura  SJ.  Births:  prelimi- nary data for 2011. National  Vital Statistics  Reports 2012;61(5):1–18."
"Hamilton, BE et al. (2013)",1,"Hamilton  BE, Martin  JA, Ventura  SJ.  Births:  prelimi- nary data for 2012. National  Vital Statistics  Reports 2013;62(3):1–20."
"Hanna, EZ et al. (2001)",1,"Hanna  EZ, Yi HY, Dufour MC, Whitmore CC. The rela- tionship  of  early-onset  regular  smoking  to  alcohol use, depression, illicit drug use, and other risky behav- iors during  early adolescence: results  from the youth supplement  to  the  third  national  health  and  nutri- tion examination  survey. Journal of Substance  Abuse 2001;13(3):265–82."
"Hanna, ST (2006)",1,Hanna ST. Nicotine effect on cardiovascular system and ion channels. Journal of Cardiovascular Pharmacology 2006;47(3):348–58.
"Hansson, J et al. (2012)",1,"Hansson J, Galanti MR, Hergens MP, Fredlund P, Ahlbom A,  Alfredsson L, Bellocco R, Eriksson  M, Hallqvist J, Hedblad B, et  al. Use of snus  and acute  myocardial infarction: pooled analysis of eight prospective obser- vational  studies.  European  Journal  of Epidemiology 2012;27(10):771–9."
"Harrod, CS et al. (2015)",1,"Harrod CS, Fingerlin TE, Chasan-Taber L, Reynolds RM, Glueck DH, Dabelea D. Exposure to prenatal smoking and early-life body composition: the healthy start study. Obesity 2015;23(1):234–41."
"Havel, CM et al. (2016)",1,"Havel CM, Benowitz NL, Jacob P, Helen GS. An electronic cigarette vaping machine for the characterization of aerosol delivery and composition. Nicotine & Tobacco Research. 2016."
"Hecht, SS (1998)",1,"Hecht SS. Biochemistry, biology, and carcinogenicity  of tobacco-specific  N-nitrosamines.  Chemical  Research in Toxicology 1998;11(6):559–603."
"Hecht, SS (1999)",1,Hecht    SS.   Tobacco   smoke   carcinogens    and   lung cancer.   Journal  of  the   National   Cancer  Institute 1999;91(14):1194–210.
"Hellstrom-Lindahl, E et al. (1998)",1,"Hellstrom-Lindahl  E, Gorbounova O, Seiger A, Mousavi M, Nordberg A. Regional distribution  of nicotinic receptors during prenatal development of human brain and spinal cord. Brain Research: Developmental Brain Research 1998;108(1–2):147–60."
"Holbrook, BD (2016)",1,"Holbrook BD. The effects of nicotine  on human  fetal development. Birth Defects Research. Part C, Embryo Today: Reviews 2016;108(2):181–92."
"Holloway, AC et al. (2005)",1,"Holloway AC, Lim GE, Petrik  JJ, Foster  WG, Morrison KM, Gerstein HC. Fetal and neonatal exposure to nico- tine in Wistar rats results in increased beta cell apop- tosis at birth and postnatal endocrine and metabolic changes associated with type 2 diabetes. Diabetologia 2005;48(12):2661–6."
