Reference,doi,dir,title,journal,nrefs,type,conflicts
"Ganapathy, V et al. (2017)",10.1371/journal.pone.0177780,Documents/E-cigarette citation library.Data/PDF/1994746933/10.1371_journal.pone.0177780-2017.pdf,Electronic cigarette aerosols suppress cellular antioxidant defenses and induce significant oxidative DNA damage,PLoS ONE,1,Journal article,"lability Statement  All relevant data are  within the paper and its Supporting Information  files   Funding  This work was supported by the  Oklahoma Tobacco Research Center  LQ   the  Presbyterian Health Foundation  LQ  and by the  Oklahoma Center for the Advancement of Science    Technology  LQ   Dr  Queimado holds a  Presbyterian Health Foundation Endowed Chair in  Otorhinolaryngology Position  The fu
is   decision to publish  or preparation of the  manuscript   Competing interests  The authors have declared  that no competing interests exist   31   EC aerosols also contain high levels of free radicals  32â  34  and have been shown to induce  oxidative stress and inflammation in mouse models  32  33   These data suggest that EC aerosols  expose users and bystanders to toxic and carcinogenic substance
ibutions  Conceptualization  LQ TW EF IR VG   Data curation  LQ EF   Formal analysis  LQ VG JM EF   Funding acquisition  LQ   Investigation  VG JM IR LB DM BS EF LQ   Methodology  LQ VG EF TW   Project administration  LQ   Resources  DAR TW EF LQ   Supervision  LQ VG EF   Validation  LQ VG IR JM BS EF   Visualization  LQ VG JM   Writing â   original draft  LQ   Writing â   review   editing  LQ VG IR DAR "
"Sethuraman, R et al. (2011)",10.1509/jmkr.48.3.457,Documents/E-cigarette citation library.Data/PDF/1374214510/10.1509_jmkr.48.3.457-2018.pdf,How well does advertising work? Generalizations from meta-analysis of brand advertising elasticities,Journal of Marketing Research,1,Journal article,
"Zhu, J et al. (2012)",10.1523/JNEUROSCI.1041-12.2012,Documents/E-cigarette citation library.Data/PDF/4159816856/10.1523_JNEUROSCI.1041-12.2012-2012.pdf,"Prenatal nicotine exposure mouse model showing hyperactivity, reduced cingulate cortex volume, reduced dopamine turnover, and responsiveness to oral methylphenidate treatment",Journal of Neuroscience,1,Journal article,
"Jacobsen, LK et al. (2007a)",10.1523/JNEUROSCI.2402-07.2007,Documents/E-cigarette citation library.Data/PDF/3515294147/10.1523_JNEUROSCI.2402-07.2007-2007.pdf,Prenatal and adolescent exposure to tobacco smoke modulates the development of white matter microstructure,Journal of Neuroscience,1,Journal article,
"Zhu, J, et al. (2014a)",10.1523/JNEUROSCI.4402-13.2014,Documents/E-cigarette citation library.Data/PDF/0284266881/10.1523_JNEUROSCI.4402-13.2014-2014.pdf,Transgenerational transmission of hyperactivity in a mouse model of ADHD,Journal of Neuroscience,1,Journal article,
"Gunnerbeck, A et al. (2011)",10.1542/peds.2010-3811,Documents/E-cigarette citation library.Data/PDF/0997834305/10.1542_peds.2010-3811-2011.pdf,Relationship of maternal snuff use and cigarette smoking with neonatal apnea,Pediatrics,1,Journal article,
"Goniewicz, ML and Zielinska-Danch, W (2012)",10.1542/peds.2011-3448,Documents/E-cigarette citation library.Data/PDF/3237710917/10.1542_peds.2011-3448-2012.pdf,NA,NA,1,Journal article,  2012 by the American Academy of Pediatrics  FINANCIAL DISCLOSURE  Dr Goniewicz received research  funding from Pfizer  manufacturer of stop smoking medication   and is currently funded by the UK Centre for Tobacco Control  Studies  UKCTCS   UK Public Health Centre of Excellence  UKCTCS  receives funding from the Economic and Social Research  Council  the British Heart Foundation  Cancer Research UK  th
"Dhalwani, NN et al. (2015)",10.1542/peds.2014-2560,Documents/E-cigarette citation library.Data/PDF/2330363659/10.1542_peds.2014-2560-2015.pdf,Nicotine replacement therapy in pregnancy and major congenital anomalies in offspring,Pediatrics,1,Journal article,"atkowski are members of the UK  Centre for Tobacco and Alcohol  Studies  http   www ukctas ac uk    Funding from the British Heart  Foundation  Cancer Research UK  the  Economic and Social Research  Council  the Medical Research  Council  and the National Institutes of  Health Research  under the auspices  of the UK Clinical Research  Collaboration  is gratefully  acknowledged  Dr Coleman is also  a memb
tment of Health   POTENTIAL CONFLICT OF INTEREST  The authors have indicated they have no potential conflicts of interest to disclose   PEDIATRICS Volume 135  number 5  May 2015 865   at Swets Blackwell 70076634 on December 6  2019www aappublications org newsDownloaded from   REFERENCES  1  Royal College of Physicians  Passive  Smoking and Childrenâ  A Report by the  Tobacco Advisory Group  London   UKRoy"
"Jamal, A et al. (2017)",10.15585/mmwr.mm6623a1,Documents/E-cigarette citation library.Data/PDF/1563317008/10.15585_mmwr.mm6623a1-2017.pdf,"Tobacco use among middle and high school students — United States, 2011–2016",Morbidity and Mortality Weekly Report,1,Statistical report,"l implementation of com   prehensive tobacco control and prevention strategies at CDC   recommended funding levels  9   could reduce youth tobacco   product initiation and use  1 2 9   Strategies to reduce youth   tobacco product use include increasing the price of tobacco   products  protecting people from secondhand exposure to com   bustible tobacco smoke and e cigarette aerosol  implementing   advert
 66   No  23 US Department of Health and Human Services Centers for Disease Control and Prevention  Conflict of Interest  No conflicts of interest were reported    1Office on Smoking and Health  National Center for Chronic Disease   Prevention and Health Promotion  CDC  2Center for Tobacco Products  Food   and Drug Administration   Corresponding author  Ahmed Jamal  AJamal cdc gov  770 488 5493   Referenc"
"Cullen, KA et al. (2018)",10.15585/mmwr.mm6745a5,Documents/E-cigarette citation library.Data/PDF/1884485011/10.15585_mmwr.mm6745a5-2018.pdf,"Notes from the Field: Use of Electronic Cigarettes and Any Tobacco Product Among Middle and High School Students - United States, 2011-2018",MMWR. Morbidity and mortality weekly report,1,Statistical report,motion  CDC   All authors have completed and submitted the ICMJE form for   disclosure of potential conflicts of interest  No potential conflicts of   interest were disclosed   References  1  US Department of Health and Human Services  E cigarette use among   youth and young adults  a report of the Surgeon General  Atlanta  GA    US Department of Health and Human Services  CDC  National Center   for Chron
"Mejia, AB and Ling, PM (2010)",10.2105/AJPH.2008.152603,Documents/E-cigarette citation library.Data/PDF/3267363622/10.2105_AJPH.2008.152603-2010.pdf,NA,NA,1,Journal article,his report are  those of the authors and do not necessarily represent the  official position of the funding agencies   Human Participant Protection  No human participants were involved in this study   References  1  Hatsukami DK  Ebbert JO  Feuer RM  Stepanov I   Hecht SS  Changing smokeless tobacco products  new  tobacco delivery systems  Am J Prev Med  2007 33 6  suppl  1  S368â  S378   2  Harm Reducti
"Durkin, SJ et al. (2009)",10.2105/AJPH.2009.161638,Documents/E-cigarette citation library.Data/PDF/0023225098/10.2105_AJPH.2009.161638-20091.pdf,Effects of different types of antismoking ads on reducing disparities in smoking cessation among socioeconomic subgroups,American Journal of Public Health,1,Journal article,
"Jarvis, MJ et al. (1988)",10.2105/AJPH.78.6.696,Documents/E-cigarette citation library.Data/PDF/0887029528/10.2105_AJPH.78.6.696-1988.pdf,Elimination of cotinine from body fluids: Implications for noninvasive measurement of tobacco smoke exposure,American Journal of Public Health,1,Journal article,
"Ohta, K et al. (2011)",10.2116/bunsekikagaku.60.791,Documents/E-cigarette citation library.Data/PDF/3929747070/10.2116_bunsekikagaku.60.791-2011.pdf,"Determination of carbonyl compounds generated from the electronic cigarette using coupled silica cartridges impregnated with hydroquinone and 2,4-dinitrophenylhydrazine",Bunseki Kagaku,1,Journal article,
"Schneider, NG et al. (2001)+A1247",10.2165/00003088-200140090-00003,Documents/E-cigarette citation library.Data/PDF/2448692058/10.2165_00003088-200140090-00003-2001.pdf,The nicotine inhaler: Clinical pharmacokinetics and comparison with other nicotine treatments,Clinical Pharmacokinetics,1,Journal article,
"Chen, YL et al. (2018)",10.2188/jea.JE20170300,Documents/E-cigarette citation library.Data/PDF/2843543855/10.2188_jea.JE20170300-2019.pdf,NA,NA,1,Journal article,his work was support by the Food and Drug Administration   Ministry of Health and Welfare  Taiwan   Funding  This work was supported by a grant from the Food  and Drug Administration  Ministry of Health and Welfare   Taiwan  grant numbers 103TFDA N 001 and 104TFDA N 005    Conflicts of interest  None declared   REFERENCES  1  Lim SS  Vos T  Flaxman AD  et al  A comparative risk assessment  of burden of d
"Romagna, G et al. (2013)",10.3109/08958378.2013.793439,Documents/E-cigarette citation library.Data/PDF/1581080548/10.3109_08958378.2013.793439-2013.pdf,Cytotoxicity evaluation of electronic cigarette vapor extract on cultured mammalian fibroblasts (ClearStream-LIFE): Comparison with tobacco cigarette smoke extract,Inhalation Toxicology,1,Journal article,linical level   in order to better understand and evaluate the effects of EC  use on human health   Declaration of interest  No author has any financial interest in the outcome of this  study   The study was funded by FlavourArt s r l  No author has  received any financial compensation for this study  The study  was investigator initiated and investigator driven  The sponsor  had no involvement in the s
"Berg, CJ et al. (2015b)",10.3109/10826084.2014.958857,Documents/E-cigarette citation library.Data/PDF/0411613771/10.3109_10826084.2014.958857-2015.pdf,"Perceived harm, addictiveness, and social acceptability of tobacco products and marijuana among young adults: Marijuana, hookah, and electronic cigarettes win",Substance Use and Misuse,1,Journal article,se perceptions as well as social norms  related to the use of these tobacco products andmarijuana   Declaration of Interest  The authors report no conflicts of interest   THE AUTHORS  Carla J  Berg  PhD  is an  assistant professor in the  Department of Behavioral  Sciences and Health Education   Emory University Rollins  School of Public Health   Her PhD is in clinical  health psychology  and her  resea
"Bronstein, AC et al. (2012)",10.3109/15563650.2012.746424,Documents/E-cigarette citation library.Data/PDF/1776785171/10.3109_15563650.2012.746424-2012.pdf,2011 Annual report of the American Association of Poison Control Centers' National Poison Data System (NPDS): 29th Annual Report.,"Clinical toxicology (Philadelphia, Pa.)",1,Journal article,"  Subtotal 8 912 0 74  Administrative  Expert witness requests 31 0 00  Faculty activities 54 0 00  Funding 43 0 00  Personnel issues 369 0 03  Poison center record request 190 0 02  Product replacement malfunction    issues intended for the   manufacturer   2 350 0 20  Scheduling of poison center   rotations  130 0 01  Other administration 25 285 2 10  Subtotal 28 452 2 36  Caller Referred  Immediate re
lar tonsillar herniation  An apnea test showed   no signs of respiratory effort after 8 min  He was declared   brain dead  comfort measures were instituted and he expired   25 min later     Autopsy Findings  No autopsy was done     Case 110  Acute methanol and organophosphate inges   tion  undoubtedly responsible     Scenario Substances  A 55 y o male was brought to the ED   by police complaining of abd
ogram and thrombectomy  On Day 2  she   developed cerebral edema with herniation  brain death was   declared  comfort measures were instituted  she expired  and   organs were harvested     Autopsy Findings  No autopsy was performed     Case 124  Acute cyanide injection  undoubtedly   responsible     Scenario Substances  A 33 y o healthy female went to her   boyfriend â   s house to collect her things  w
ued after 48 hrs  Serum samples were   sent out for quantifi cation of methadone  The patient was   declared brain dead on the Day 6 and expired on Day 7     Autopsy Findings  Premortem blood methadone concentra   tions  219 ng mL at 24 hrs  and 178 ng  at 48 hrs  CNS    cerebral edema with severe diastatic separation of cranial   sutures  acute hypoxic ischemic encephalopathy  secondary   subarachnoid 
th  The urine   toxicology remained positive for methadone for a total of 7   days  The patient was declared brain dead  comfort measures   were instituted on Day 8  the patient expired on Day 10     Autopsy Findings  Liquifi cation of the majority of the brain   with small hemorrhagic infarctions in lungs  myocardium   was normal with no infarction  Cause of death  Methadone   Intoxication  Manner of d
ion   was initiated and 0 8 mg of naloxone was administered   without any response  The patient was declared dead on   arrival to the ED  Child protective services and the ME   were notifi ed     Autopsy Findings  The cause of death was determined to be   acute buprenorphine intoxication  The patient â   s blood levels   were buprenorphine 52 ng ml  norbuprenorphine 23 ng mL    and naloxone 39 ng mL  Ga
 blood and   postmortem vitreous chemistries consistent with dehydra   tion  The cause of death was declared due to complications   of severe dehydration due to severe diarrhea from treatment    Epsom salts  of chronic constipation as a consequence of   debilitation cerebral palsy premature birth  â   24 weeks     Case 1577  Acute on chronic  metformin ingestion    undoubtedly responsible     Scenario S
n Day 4 confi rmed brain death    preparations were made for her to be an organ donor and she   was declared dead     Autopsy Findings  Cause of death was anoxic encephal   opathy from acute alprazolam toxicity  Blood from hospital   admission   fl uoxetine 49 ng ml  in deaths attributable to   fl uoxetine overdose  reported blood or plasma concentra   tions of parent compound and metabolite range from 
d CT showed cerebral edema   and anoxic injury  EEG  anoxic injury and ultimately the   patient was declared brain dead  Comfort measures were   initiated and he expired    42 hrs after presentation     Autopsy Findings  Not performed  Antemortem blood from   fi rst HCF  MDPV 0 31 mg L  other samples from the second    Amylase 108  AST 53  ALT 112  albumin 4 2  CK 338    CKMB 5 1  troponin1 0 06  UDS po"
"Mowry, JB et al. (2013)",10.3109/15563650.2013.863906,Documents/E-cigarette citation library.Data/PDF/1454031489/10.3109_15563650.2013.863906-2013.pdf,2012 Annual Report of the American Association of Poison Control Centers' National Poison Data System (NPDS): 30th Annual Report,"Clinical toxicology (Philadelphia, Pa.)",1,Journal article,"total  7 255  0 71    Administrative   Expert witness requests 33 0 00  Faculty activities 51 0 00  Funding 42 0 00  Personnel issues 358 0 03  Poison center record request 160 0 02  Product replacement malfunction    issues intended for the manufacturer   2 249 0 22  Scheduling of poison center rotations 98 0 01  Other administration 25 647 2 50   Subtotal  28 638  2 79    Caller Referred   Immediate re
as required to maintain   his BP  On Day 4 an MRI documented anoxic brain injury  On   Day 7 he was declared brain dead and expired the same day     Autopsy Findings  Not available  The Occupational Safety and   Hazard Administration completed an investigation and fi ned   the company citing multiple workplace safety violations     Case 384  Chronic lead ingestion  undoubtedly responsible     Scenario S
initiated  but   he never regained consciousness  He was diagnosed with   anoxic encephalopathy and declared brain dead on Day 5    Na 144 Cl 112 BUN 16  Glu 75  K 3 8 HCO 3 22 Cr 1 6   Laboratory Data  ABG pH 7 4   pCO 2 36   pO 2 548    UDS negative  acetaminophen and salicylates were not   detected     Clinical Course  Atropine  pralidoxime  and diazepam   were administered in the ED  One liter of ga
 infusion in addition to norepinephrine  She had   no evidence of brain activity and was ultimately declared   brain dead     Autopsy Findings  Toxicology revealed a bupropion level   of 0 21 mg L  Cause of death  hypoxic encephalopathy due   to acute bupropion toxicity     Case 1437  Acute on chronic bupropion  extended   release   methylphenidate  polyethylene glycol ingestion    probably responsible 
opulmo   nary catheter treated with emergency fasciotomy on the day   of admission  Brain death was declared on Day 3     Autopsy Findings  The death in this case was the end   result of acute intoxication by fl ecainide and was suicidal   in nature     Case 1637  Acute verapamil ingestion  undoubtedly   responsible     Scenario Substances  A 39 y o female ingested 90 tablets   of verapamil 240 mg in an"
"Vakkalanka, JP et al. (2014)",10.3109/15563650.2014.913176,Documents/E-cigarette citation library.Data/PDF/2152889704/10.3109_15563650.2014.913176-2014.pdf,Epidemiological trends in electronic cigarette exposures reported to U.S. Poison Centers,Clinical Toxicology,1,Journal article,ey and Asma Madad with   the National Poison Data System for assisting and providing   the data     Declaration of interest    The authors report no declarations of interest  The authors   alone are responsible for the content and writing of the   paper      References    Bertholon  JF    Becquemin  MH    Annesi Maesano  I    Dautzenberg 1     B    Electronic cigarettes  a short review    Respiration  2
"Caponnetto, P et al. (2013b)",10.3390/ijerph10020446,Documents/E-cigarette citation library.Data/PDF/2187644864/10.3390_ijerph10020446-2013.pdf,Impact of an electronic cigarette on smoking reduction and cessation in schizophrenic smokers: A prospective 12-month pilot study,International Journal of Environmental Research and Public Health,1,Journal article,their support  We would also like to thank LIAF  Lega Italiana AntiFumo  for the   collaboration    Conflict of Interest   Pasquale Caponnetto  Roberta Auditore  Cristina Russo and Giorgio Carlo Cappello declare no   conflict of interest  Riccardo Polosa has received lecture fees and research funding from Pfizer and   GlaxoSmithKline  manufacturers of stop smoking medications  He has served as a consultan
"Farsalinos, KE et al. (2013a)",10.3390/ijerph10127272,Documents/E-cigarette citation library.Data/PDF/2887191811/10.3390_ijerph10127272-2013.pdf,Impact of flavour variability on electronic cigarette use experience: An internet survey,International Journal of Environmental Research and Public Health,1,Journal article,e of the websites promoting the survey had any access to the data collected from participants  No   funding was received for this study    Conflicts of Interest    The authors declare no conflict of interest     References   1  Doll  R   Peto  R   Boreham  J   Sutherland  I  Mortality in relation to smoking  50 yearsâ     observations on male British doctors  BMJ 2004  328  1519â  1528    2  World Health
"Farsalinos, KE et al. (2014)",10.3390/ijerph110404356,Documents/E-cigarette citation library.Data/PDF/2618661981/10.3390_ijerph110404356-2014.pdf,"Characteristics, perceived side effects and benefits of electronic cigarette use: A worldwide survey of more than 19,000 consumers",International Journal of Environmental Research and Public Health,1,Journal article,"nisations like the World Health Organisation   and the US Food and Drug Administration prohibit the declaration of any therapeutic claims    Additionally  there is controversy on the nicotine delivery potential of ECs  Some studies have shown   Int  J  Environ  Res  Public Health 2014  11 4358   Â   that  despite being effective at suppressing smoking withdrawal symptoms  there was minimal nicotine   ab
evaluate the effects of EC use at a population level    Acknowledgments   The study was funded by a funding campaign of E Cigarette Research Advocates Group  the   owners of the website www ecigarette research com  This is a non profit group of electronic cigarette   users with no relation to the electronic cigarette or other industry  The website does not promote or   present any electronic cigarette pr
ript  All authors reviewed and approved   the manuscript before being submitted for publication     Conflicts of Interest   The authors declare no conflict of interest    References   1  Moore  D   Aveyard  P   Connock  M   Wang  D   Fry Smith  A   Barton  P  Effectiveness and   safety of nicotine replacement therapy assisted reduction to stop smoking  systematic review and   meta analysis  BMJ 2009  338 "
"Bekki, K et al. (2014)",10.3390/ijerph111111192,Documents/E-cigarette citation library.Data/PDF/3556229956/10.3390_ijerph111111192-2014.pdf,Carbonyl compounds generated from electronic cigarettes,International Journal of Environmental Research and Public Health,1,Journal article,e regulatory aspects of the paper  All contributors approved the final version of the manuscript    Conflicts of Interest   The authors declare no conflict of interest     References    1  Gilbert  H A  Smokeless Non Tobacco Cigarette  Patent No  3200819  17 August 1965    2  Cummings  K M   Dresler  C M   Field  J K   Fox  J   Gritz  E R   Hanna  N H   Ikeda  N      Jassem  J   Mulshine  J L   Peters  M 
"Misra, M et al. (2014)",10.3390/ijerph111111325,Documents/E-cigarette citation library.Data/PDF/2001387380/10.3390_ijerph111111325-2014.pdf,"Comparative in vitro toxicity profile of electronic and tobacco cigarettes, Smokeless tobacco and nicotine replacement therapy products: E-liquids, Extracts and collected aerosols",International Journal of Environmental Research and Public Health,1,Journal article, and NRT     Steven E  Brown  Participated in study design and critical review of the manuscript    Conflicts of Interest   The authors are Lorillard Tobacco Company employees and declare no conflict of interest with   respect to the research  authorship  and or publication of this article    References   1  Ayers  J W   Ribisl  K M   Brownstein  J S  Tracking the rise in popularity of electronic nicotine
"Colard, S et al. (2015)",10.3390/ijerph120100282,Documents/E-cigarette citation library.Data/PDF/4256150753/10.3390_ijerph120100282-2014.pdf,Electronic cigarettes and indoor air quality: A simple approach to modeling potential bystander exposures to nicotine,International Journal of Environmental Research and Public Health,1,Journal article,hard wrote the paper  All authors contributed to the   manuscript and approved the final version    Conflicts of Interest   All authors are employees of Imperial Tobacco Group  The work in this paper was supported by   Imperial Tobacco Group    References   1  ASH  Use of Electronic Cigarettes in Great Britain  Available online  http   www ash org uk    files documents ASH_891 pdf  accessed on August 24 N
"Biener, L et al. (2015)",10.3390/ijerph121215039,Documents/E-cigarette citation library.Data/PDF/2502589059/10.3390_ijerph121215039-2015.pdf,Electronic cigarette trial and use among young adults: Reasons for trial and cessation of vaping,International Journal of Environmental Research and Public Health,1,Journal article,"s who were aged between 18 and 35 were eligible to participate   A postcard  which could be used to declare that the household contained no age eligible residents   was included in the mailing   2  The first survey mailing included a cover letter and a one dollar bill  as a â œtoken of appreciation â   The letter explained that when a completed survey was received  the  household would be entered into a
about the goals of the paper  reviewed and commented on drafts  and approved the final manuscript   Conflicts of Interest  The authors declare no conflict of interest   References  1  Agaku  I T   King  B A   Husten  C G   Bunnell  R   Ambrose  B K   Hu  S S   Holder Hayes  E   Day  H R   Tobacco Product Use Among Adultsâ  United States  Available online  http   www cdc gov mmwr   preview mmwrhtml mm6325a"
"Hiscock, R et al. (2015)",10.3390/ijerph121215048,Documents/E-cigarette citation library.Data/PDF/0473063533/10.3390_ijerph121215048-20151.pdf,Views from the coalface: What do english stop smoking service personnel think about E-cigarettes?,International Journal of Environmental Research and Public Health,1,Journal article,"aining smokers in the population are harder to reach   reduced mass media health campaigns  reduced funding of services  SSS moved from NHS to LA   SSS put out to tender and few specialist practitioners available    2 2 3  Multivariate Analysisâ  Which Variables Affect the Association between Role in the Service  and Opinion of E Cigarettes  Logistic regression analysis  with opinion on e cigarettes as t
maining smokers being harder to reach  Table 5   Thus the substantial changes in the  structure and funding of SSS were less commonly cited as reasons for the decline   16164  Int  J  Environ  Res  Public Health 2015  12  16157â  16167  Table 5  Reasons for the decline in SSS client numbers   Reason N    Smokers choosing to use e cigs 1461 83 0  Remaining smokers in the population are harder to reach 947
 53 8  Reduced mass media health campaigns 527 29 9  Reduced funding of services 488 27 7  SSS moved from NHS to LA 389 22 1  Put out to tender 299 17 0  Few specialist practitioners available 243 13 8  4  Conclusions  E cigarettes were reported as being used by a very small proportion of SSS clients  but those  clients were among the most successful  Nevertheless  
 the UK Centre for Tobacco and Alcohol Studies  UKCTAS    a UK Centre for Public Health Excellence  Funding to UKCTAS from the British Heart Foundation  Cancer  Research UK  the Economic and Social Research Council  the Medical Research Council  and the National  Institute of Health Research  under the auspices of the UK Clinical Research Collaboration  is gratefully  acknowledged  This work was also sup
 Rosemary Hiscock analysed the survey and drafted the paper  All authors  commented substantively   Conflicts of Interest  Andy McEwen receives a personal income from Cancer Research UK via University College  London  He has received travel funding  honorariums  and consultancy payments from manufacturers of  smoking cessation products  Pfizer Ltd   Novartis UK  and GSK Consumer Health care Ltd    Louise "
"Kinnunen, JM et al. (2016)",10.3390/ijerph13111114,Documents/E-cigarette citation library.Data/PDF/3711019085/10.3390_ijerph13111114-2016.pdf,Changes in electronic cigarette use from 2013 to 2015 and reasons for use among finnish adolescents,International Journal of Environmental Research and Public Health,1,Journal article,"cial Affairs and Health  201310055 and 201410069   Helsinki  Finland  and the Competitive  Research Funding of the Tampere University Hospital  9P063   Tampere  Finland   Author Contributions  Jaana M  Kinnunen had the main responsibility of producing this paper  Jaana M  Kinnunen   Arja H  RimpelÃ  and Pirjo L  Lindfors designed the study and were responsible for data collection   Jaana M  Kinnunen anal
ad and approved the final manuscript   Int  J  Environ  Res  Public Health 2016  13  1114 11 of 13  Conflicts of Interest  The authors declare no conflict of interest   References  1  Pepper  J K   Brewer  N T  Electronic nicotine delivery system  electronic cigarette  awareness  use  reactions  and beliefs  A systematic review  Tob  Control 2014  23  375â  384   CrossRef   PubMed   2  Durmowicz  E L  The"
"Hahn, EJ et al. (2015)",10.4278/ajhp.130627-ARB-335,Documents/E-cigarette citation library.Data/PDF/3107420348/10.4278_ajhp.130627-ARB-335-2015.pdf,Electronic cigarette retail outlets and proximity to schools,American Journal of Health Promotion,1,Journal article,ups  e g    youth and young adults  pregnant  women   and public health outcomes   Acknowledgments  Funding for this project was provided by the UK Center for  Clinical and Translational Science Pilot Grants Program   Dr  Hahn  PI   The project described was supported by the  National Center for Advancing Translational Sciences   UL1TR000117  The content is solely the responsibility of  the authors and d
"Schmidt, L et al. (2014)",10.5888/pcd11.140283,Documents/E-cigarette citation library.Data/PDF/0326050913/10.5888_pcd11.140283-2014.pdf,"Prevalence and reasons for initiating use of electronic cigarettes among adults in montana, 2013",Preventing Chronic Disease,1,Journal article,
"Farsalinos, KE et al. (2013d)",10.3390/ijerph10105146,Documents/E-cigarette citation library.Data/PDF/0202504536/10.3390_ijerph10105146-2013.pdf,Comparison of the cytotoxic potential of cigarette smoke and electronic cigarette vapour extract on cultured myocardial cells,International Journal of Environmental Research and Public Health,1,Journal article,"n clinical level  in order to evaluate the effects of EC use   on human health    Acknowledgments   Funding  The study was funded in part by the Greek Association of E cigarette Businesses  SEEHT     Role of the funding source  The study was investigator initiated and investigator driven  The sponsor   funded the expenses of the laboratory  ABICH S r l  Verbania  Italy  where the experiments were   perfo
ation  writing or approving the manuscript and decision to submit the manuscript for publication    Conflicts of Interest   None reported by all authors  No author has received any financial or other compensation for this study    References   1  Ockene  I S   Miller  N H  Cigarette smoking  cardiovascular disease  and stroke  A statement for   healthcare professionals from the American Heart Association "
"Anderson, SJ et al. (2007)",10.1136/tc.2006.019349,Documents/E-cigarette citation library.Data/PDF/0030464980/10.1136_tc.2006.019349-2007.pdf,"Implications of the federal court order banning the terms ""light"" and ""mild"": What difference could it make?",Tobacco Control,1,Journal article,"nal Cancer Institute Grant No  CA   87472 and the Flight Attendant Medical Research Institute  The  funding agencies played no role in the conduct of the research or in  preparation of the manuscript  We thank Richard Barnes  Richard  Daynard and an anonymous reviewer for their helpful comments and  advice on drafts of this work   Authorsâ   affiliations                                                 St
and Education  University of California  San  Francisco  California  USA  Competing interests  None declared   Correspondence to  Professor S A Glantz  CTCRE  University of California   Box 1390  530 Parnassus Avenue  Suite 366  San Francisco  CA 94143â    1390  USA  glantz medicine ucsf edu  Received 14 November 2006  Accepted 4 February 2007  REFERENCES  1 United States District Court for the District"
"Grana, R (2013)",10.1016/j.jadohealth.2012.11.007,Documents/E-cigarette citation library.Data/PDF/2269972859/10.1016_j.jadohealth.2012.11.007-2013.pdf,Electronic cigarettes: A new nicotine gateway?,Journal of Adolescent Health,1,Journal article,
"McKee, M (2013)",10.1136/bmj.f5780,Documents/E-cigarette citation library.Data/PDF/1945176168/10.1136_bmj.f5780-2013.pdf,E-cigarettes and the marketing push that surprised everyone,BMJ (Online),1,Journal article,ies  the  more they conclude that the downsides far exceed any benefits   Competing interests  None declared   bmj com News  E cigarette use doubles among US middle and high  school students  BMJ 2013 347 f5543  doi 10 1136 bmj f5543    E cigarettes as good as patches in helping to reduce smoking  study  concludes  BMJ 2013 347 f5505  doi 10 1136 bmj f5505   Observations  Big Tobacco lights up e cigaret
"Odum, LE et al. (2012)",10.1177/0897190012451909,Documents/E-cigarette citation library.Data/PDF/0961475478/10.1177_0897190012451909-2012.pdf,Electronic cigarettes: Do they have a role in smoking cessation?,Journal of Pharmacy Practice,1,Journal article,"tridge is typically similar to one pack of cigarettes 5 9  FDA Concerns Regarding E Cigarettes and  Conflicting Data  The FDA has concerns regarding the content of e cigarettes   An FDA analysis of cartridges from two leading brands  detected very small amounts of carcinogenic tobacco specific  nitrosamines  and one of 18 cartridges tested contained diethy   lene glycol which is toxic to humans  The FDA i
es have a possible role  in smoking cessation  but until this occurs  they cannot be  recommended   Declaration of Conflicting Interests  The author s  declared no potential conflicts of interest with respect to  the research  authorship  and or publication of this article   Funding  The author s  received no financial support for the research  author   ship  and or publication of this article   Referen"
"Taleb, ZB and Maziak, W (2014)",10.1016/S1470-2045(14)70038-5,Documents/E-cigarette citation library.Data/PDF/0409224693/10.1016_S1470-2045(14)70038-5-2014.pdf,Harm reduction and e-cigarettes: Not evidence-based,The Lancet Oncology,1,Journal article,tine   causes a real addiction with lifelong   psychosocial  economic  and health   eff ects 8   We declare that we have no confl icts of interest    Ziyad Ben Taleb  Wasim Maziak  zbent002 fi u edu  Department of Epidemiology  Robert Stempel   College of Public Health and Social Work  Florida   International University  Miami  FL 33199  USA    ZBT  WM   and Syrian Center for Tobacco Studies    Aleppo  
"Cobb, NK and Abrams, DB (2011)",10.1056/NEJMp1105249,Documents/E-cigarette citation library.Data/PDF/3119709706/10.1056_NEJMp1105249-2011.pdf,E-cigarette or drug-delivery device? Regulating novel nicotine products,New England Journal of Medicine,1,Journal article,
"Gornall, J (2012)",10.1136/bmj.e6417,Documents/E-cigarette citation library.Data/PDF/4147511130/10.1136_bmj.e6417-2012.pdf,Electronic cigarettes: Medical device or consumer product?,BMJ (Online),1,Journal article," armed police stopped the  coach  evacuated the passengers  and closed the motorway  before finally declaring the bag and its contentsâ  an e cigarette  and associated paraphernaliaâ  harmless   It is taking the UK Medicines and Healthcare Products  Regulatory Agency rather longer to come to the same  conclusionâ  or  rather  to determine whether the devices should  be treated as medicinal products  reg
 form at www icmje org coi_disclosure pdf  available on  request from the corresponding author  and declares no support from  any organisation for the submitted work  no financial relationships with  any organisations that might have an interest in the submitted work in  the previous three years  no other relationships or activities that could  appear to have influenced the submitted work   Provenance a"
